DOI / Referência,Tipo de Resíduo,Origem / País,"Processamento (triturado, moído, fibra etc,)",Equação de Resilient Modulus,ID da Amostra,LL (%),PL (%),IP (%),Finos (%), MDD (kN/m³),OMC (%),CBR (%),Expansão (%),AASHTO,Tensão de Confinamento (kPa),Tensão Desviadora (kPa),Número de Ciclos de Carga,K1,K2,K3,R²,MR (MPa),Deformação Permanente (μℰ),Deformação Permanente Final (μℰ),DP (%),"Aplicação sugerida (subleito, sub-base, base)",Observações
10.34910/MCE.115.30,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR2S3 (45 °C),-,-,-,-,G_graúdo: 2.867<br>G_miúdo: 2.721,-,-,-,-,-,-,-,-,-,-,825,274,-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 50%N/20%R/30%S
10.34910/MCE.115.31,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR3S1 (35 °C),-,-,-,-,G_graúdo: 2.683<br>G_miúdo: 2.610,-,-,-,-,-,-,-,-,-,-,825,1081.5,-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 60%N/30%R/10%S
10.34910/MCE.115.32,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR3S1 (45 °C),-,-,-,-,G_graúdo: 2.683<br>G_miúdo: 2.610,-,-,-,-,-,-,-,-,-,-,825,364.5,-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 60%N/30%R/10%S
10.34910/MCE.115.33,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR3S2 (35 °C),-,-,-,-,G_graúdo: 2.768<br>G_miúdo: 2.657,-,-,-,-,-,-,-,-,-,-,825,778,-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 50%N/30%R/20%S
10.34910/MCE.115.34,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR3S2 (45 °C),-,-,-,-,G_graúdo: 2.768<br>G_miúdo: 2.657,-,-,-,-,-,-,-,-,-,-,825,329.5,-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 50%N/30%R/20%S
10.34910/MCE.115.35,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR3S3 (35 °C),-,-,-,-,G_graúdo: 2.852<br>G_miúdo: 2.704,-,-,-,-,-,-,-,-,-,-,825,857.5,-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 40%N/30%R/30%S
10.34910/MCE.115.36,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR3S3 (45 °C),-,-,-,-,G_graúdo: 2.852<br>G_miúdo: 2.704,-,-,-,-,-,-,-,-,-,-,825,341.5,-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 40%N/30%R/30%S
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,95S-5F-5D,-,-,-,7.19,46164,10,-,-,-,34.5,93.1,10,913,123,557,992,80.5,-,489.3,49,Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001620,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,95S-5F-10D,-,-,-,7.86,46075,46152,-,-,-,34.5,93.1,10,1010,107,550,992,88.3,-,385.7,39,Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001621,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,95S-5F-15D,-,-,-,8.48,46255,46064,-,-,-,34.5,93.1,10,1100,125,479,992,95.1,-,299.9,30,Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001622,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,95S-5F-20D,-,-,-,46121,46163,46245,-,-,-,34.5,93.1,10,1146,114,460,992,101.8,-,172.3,17,Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001623,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,85S-15F-5D,-,-,-,15.67,46254,46153,-,-,-,34.5,93.1,10,1036,150,539,992,92.4,-,252.4,25,Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001624,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,85S-15F-10D,-,-,-,15.95,46132,12,-,-,-,34.5,93.1,10,1117,132,528,992,99.8,-,239.2,24,Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001625,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,85S-15F-15D,-,-,-,16.22,46042,46185,-,-,-,34.5,93.1,10,1206,134,495,992,107.5,-,192.6,19,Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001626,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,85S-15F-20D,-,-,-,16.46,46253,46066,-,-,-,34.5,93.1,10,1244,109,493,992,114.6,-,148.6,15,Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001627,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,80S-20F-15D,-,-,-,46285,46192,46277,-,-,-,34.5,93.1,10,-,-,-,992,113.2,-,135,14,Base de pavimentos flexíveis,Categorizada como SW; Cura: 28 d
10.1061/(ASCE)MT.1943-5533.0001628,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,75S-25F-0D,-,-,-,24.25,46162,46064,-,-,-,34.5,93.1,10,-,-,-,-,72,-,910,91,Base de pavimentos flexíveis,Baseline (0% Dolime)
10.1061/(ASCE)MT.1943-5533.0001629,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,75S-25F-5D,-,-,-,24.14,46253,12,-,-,-,34.5,93.1,10,1106,98,442,992,104.8,-,235.8,24,Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001630,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,75S-25F-10D,-,-,-,46166,46161,46246,-,-,-,34.5,93.1,10,1211,113,454,992,108.2,-,179.2,18,Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001631,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,75S-25F-15D,-,-,-,23.96,46100,46155,-,< 0.5%,-,34.5,93.1,10,1299,102,454,992,113.5,-,127.5,13,Base de pavimentos flexíveis,Mistura Ótima; Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001632,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,75S-25F-20D,-,-,-,23.88,19,46067,-,-,-,34.5,93.1,10,1359,97,445,992,115.2,-,64.6,6,Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001633,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,65S-35F-5D,-,-,-,32.62,46071,46155,-,-,-,34.5,93.1,10,602,79,400,992,54.1,-,804.4,80,Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001634,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,65S-35F-10D,-,-,-,32.14,46251,46126,-,-,-,34.5,93.1,10,912,86,416,992,80.4,-,710.7,71,Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001635,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,65S-35F-15D,-,-,-,31.7,46129,46068,-,-,-,34.5,93.1,10,1014,87,427,992,90.2,-,528,53,Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001636,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,65S-35F-20D,-,-,-,31.29,17,16,-,-,-,34.5,93.1,10,1090,84,387,992,98.4,-,480.7,48,Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001637,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,75S-25F-15D (0d),-,-,-,23.96,46100,46155,-,-,-,34.5,93.1,10,1048,110,507,992,75.2,-,815.1,82,Base de pavimentos flexíveis,Cura: 0 dias
10.1061/(ASCE)MT.1943-5533.0001638,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,75S-25F-15D (7d),-,-,-,23.96,46100,46155,-,< 0.5%,-,34.5,93.1,10,1166,111,479,992,90.1,-,450.3,45,Base de pavimentos flexíveis,Cura: 7 dias
10.1061/(ASCE)MT.1943-5533.0001639,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,75S-25F-15D (14d),-,-,-,23.96,46100,46155,-,-,-,34.5,93.1,10,1242,105,472,992,102.4,-,257.3,26,Base de pavimentos flexíveis,Cura: 14 dias
10.1007/s40996-025-01765-x,SSA / RCA,Índia,Triturado,-,Mix-SR,-,-,-,-,3.12,1.86,-,-,-,-,-,10 Hz,-,-,-,-,3160,-,-,-,Revestimento,"OBC: 5,78%; Estabilidade: 19,12 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,SSA,Índia,Triturado,-,Mix-SN,-,-,-,-,3.12,1.86,-,-,-,-,-,10 Hz,-,-,-,-,2984,-,-,-,Revestimento,"OBC: 5,66%; Estabilidade: 17,37 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,SSA,Índia,Triturado,-,Mix-C,-,-,-,-,2.87,0.54,-,-,-,-,-,10 Hz,-,-,-,-,2850,-,-,-,Revestimento,"OBC: 5,53%; Estabilidade: 15,88 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,RCA,Índia,Triturado,-,Mix-D,-,-,-,-,2.87,0.54,-,-,-,-,-,10 Hz,-,-,-,-,2710,-,-,-,Revestimento,"OBC: 5,55%; Estabilidade: 14,27 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,RCA / SSA,Índia,Triturado,-,Mix-RS,-,-,-,-,2.64,1.65,-,-,-,-,-,10 Hz,-,-,-,-,2425,-,-,-,Revestimento,"OBC: 5,82%; Estabilidade: 11,64 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,RCA,Índia,Triturado,-,Mix-RN,-,-,-,-,2.64,1.65,-,-,-,-,-,10 Hz,-,-,-,-,2210,-,-,-,Revestimento,"OBC: 5,74%; Estabilidade: 10,75 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,Natural,Índia,Triturado,-,Mix-N,-,-,-,-,2.87,0.54,-,-,-,-,-,10 Hz,-,-,-,-,2615,-,-,-,Revestimento,"OBC: 5,48%; Estabilidade: 12,26 kN; Controle (NA)"
10.3390/su162310211,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS (Baixa),40.4,NP,NP,~35%,16.61,20.5,-,6.1,A-7-6,20,20,3300,24.69,185,-763,0.97,230,-,-,-,Não recomendado,Expansividade crítica por anidrita e haloísita 10Å.
10.3390/su162310212,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS (Média),40.4,NP,NP,~35%,16.61,20.5,-,6.1,A-7-6,70,140,3300,24.69,185,-763,0.97,50,-,-,-,Não recomendado,Solo residual filítico; baixa rigidez sob tráfego.
10.3390/su162310213,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS (Alta),40.4,NP,NP,~35%,16.61,20.5,-,6.1,A-7-6,105,275,3300,24.69,185,-763,0.97,46,-,-,-,Não recomendado,Módulo resiliente medido a 275 kPa (tensão máxima).
10.3390/su162310214,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS80/IMW20 (Baixa),NL,NP,NP,~32%,17.34,19.2,-,3.9,A-4,20,20,3300,59.34,306,-716,939,290,-,-,-,Reforço de subleito,Redução de expansão inicial via adição de IMW.
10.3390/su162310215,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS80/IMW20 (Média),NL,NP,NP,~32%,17.34,19.2,-,3.9,A-4,70,140,3300,59.34,306,-716,939,82,-,-,-,Reforço de subleito,Sensibilidade à tensão de confinamento aumentada.
10.3390/su162310216,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS80/IMW20 (Alta),NL,NP,NP,~32%,17.34,19.2,-,3.9,A-4,140,420,3300,59.34,306,-716,939,61,-,-,-,Reforço de subleito,Comportamento siltoso (AASHTO A-4).
10.3390/su162310217,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS60/IMW40 (Baixa),NL,NP,NP,~30%,18.39,14.7,-,2.4,A-4,20,20,3300,63.95,214,-567,756,250,-,-,-,Sub-base / Reforço,Melhor densificação estrutural com 40% de IMW.
10.3390/su162310218,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS60/IMW40 (Média),NL,NP,NP,~30%,18.39,14.7,-,2.4,A-4,70,140,3300,63.95,214,-567,756,88,-,-,-,Sub-base / Reforço,Estabilidade granulométrica superior ao PRS puro.
10.3390/su162310219,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS60/IMW40 (Alta),NL,NP,NP,~30%,18.39,14.7,-,2.4,A-4,140,420,3300,63.95,214,-567,756,69,-,-,-,Sub-base / Reforço,Incremento de K1 reflete ganho de rigidez inicial.
10.3390/su162310220,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS50/IMW50 (Baixa),NL,NP,NP,~28%,18.93,14.2,-,1,A-4,20,20,3300,94.36,259,-557,734,298,-,-,-,Reforço de subleito / Sub-base,Redução da expansão para 1% (limite normativo).
10.3390/su162310221,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS50/IMW50 (Média),NL,NP,NP,~28%,18.93,14.2,-,1,A-4,70,140,3300,94.36,259,-557,734,115,-,-,-,Reforço de subleito / Sub-base,Ganho de 130% no RM em tensões médias vs PRS.
10.3390/su162310222,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS50/IMW50 (Alta),NL,NP,NP,~28%,18.93,14.2,-,1,A-4,140,420,3300,94.36,259,-557,734,92,-,-,-,Reforço de subleito / Sub-base,Mistura ideal para estabilização de solos filíticos.
10.3390/su162310223,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS (Baixa),43.2,29.2,14,~50%,19.26,16.1,-,0,A-7-6,20,20,3300,237.5,-6,-428,916,1270,-,-,-,Camadas superiores,Comportamento laterítico (LA'); cimentação natural.
10.3390/su162310224,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS (Média),43.2,29.2,14,~50%,19.26,16.1,-,0,A-7-6,70,140,3300,237.5,-6,-428,916,464,-,-,-,Camadas superiores,Estabilidade via caulinita e óxidos de Fe/Al.
10.3390/su162310225,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS (Alta),43.2,29.2,14,~50%,19.26,16.1,-,0,A-7-6,140,420,3300,237.5,-6,-428,916,351,-,-,-,Camadas superiores,Solo argiloso laterítico com alta rigidez intrínseca.
10.3390/su162310226,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS80/IMW20 (Baixa),35.3,25.8,9.5,~45%,19.72,13.4,-,0,A-4,20,20,3300,340.36,104,-362,899,922,-,-,-,Base / Sub-base,Manutenção da rigidez com ganho ambiental.
10.3390/su162310227,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS80/IMW20 (Média),35.3,25.8,9.5,~45%,19.72,13.4,-,0,A-4,70,140,3300,340.36,104,-362,899,455,-,-,-,Base / Sub-base,K2 positivo indica maior dependência do confinamento.
10.3390/su162310228,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS80/IMW20 (Alta),35.3,25.8,9.5,~45%,19.72,13.4,-,0,A-4,140,420,3300,340.36,104,-362,899,382,-,-,-,Base / Sub-base,Ótimo desempenho mecânico para bases granulares.
10.3390/su162310229,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS60/IMW40 (Baixa),26.5,17.2,9.3,~42%,20.53,11.7,-,0,A-4,20,20,3300,330.84,269,-405,759,561,-,-,-,Sub-base,Queda brusca de rigidez comparada ao LCS80/IMW20.
10.3390/su162310230,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS60/IMW40 (Média),26.5,17.2,9.3,~42%,20.53,11.7,-,0,A-4,70,140,3300,330.84,269,-405,759,311,-,-,-,Sub-base,Perda de coesão laterítica por excesso de resíduo.
10.3390/su162310231,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS60/IMW40 (Alta),26.5,17.2,9.3,~42%,20.53,11.7,-,0,A-4,140,420,3300,330.84,269,-405,759,278,-,-,-,Sub-base,Recomendado apenas para camadas de menor esforço.
10.1016/j.clema.2025.100335,Tampas (PP),Tailândia,Triturado,-,CP,-,-,-,-,20.18,-,-,-,-,-,-,-,-,-,-,-,374.8,-,-,-,"Excluído (UCS > 8,3 MPa)","Cimento+Fly Ash (1:2); w/b=0,7"
10.1016/j.clema.2025.100336,Tampas (PP),Tailândia,Triturado,-,CP10,-,-,-,-,19.02,-,-,-,-,-,-,-,-,-,-,-,303,-,-,-,Base e Sub-base,"Cimento+Fly Ash (1:2); 10% PA; w/b=0,7"
10.1016/j.clema.2025.100337,Tampas (PP),Tailândia,Triturado,-,CP20,-,-,-,-,18.34,-,-,-,-,-,-,-,-,-,-,-,223.5,-,-,-,"Não atende critérios de rigidez (Austroads, 2017)","Cimento+Fly Ash (1:2); 20% PA; w/b=0,7"
10.1016/j.clema.2025.100338,Tampas (PP),Tailândia,Triturado,-,CP30,-,-,-,-,17.1,-,-,-,-,-,-,-,-,-,-,-,127.4,-,-,-,"Não atende critérios de rigidez (Austroads, 2017)","Cimento+Fly Ash (1:2); 30% PA; w/b=0,7"
10.1016/j.clema.2025.100339,Tampas (PP),Tailândia,Triturado,-,AP,-,-,-,-,19.87,-,-,-,-,-,-,-,-,-,-,-,289.6,-,-,-,Sub-base,"High-Ca Fly Ash+10M NaOH; Ativador/FA=0,4"
10.1016/j.clema.2025.100340,Tampas (PP),Tailândia,Triturado,-,AP10,-,-,-,-,18.56,-,-,-,-,-,-,-,-,-,-,-,276.1,-,-,-,Sub-base,"High-Ca Fly Ash+10M NaOH; 10% PA; Ativador/FA=0,4"
10.1016/j.clema.2025.100341,Tampas (PP),Tailândia,Triturado,-,AP20,-,-,-,-,17.78,-,-,-,-,-,-,-,-,-,-,-,192.5,-,-,-,"Não atende critérios de rigidez (Austroads, 2017)","High-Ca Fly Ash+10M NaOH; 20% PA; Ativador/FA=0,4"
10.1016/j.cscm.2024.e03508,PET (Tampas e Garrafas Plásticas),Malásia,Triturado e peneirado,-,Control,-,-,-,-,22.49,-,-,-,-,1000 N,1000 N,-,-,-,-,-,3155,-,-,1.72,Revestimento Asfáltico,Mistura asfáltica SMA (0% PET). Teor Ótimo de Betume (OAC) = 5.30%. O teste de deformação (creep) acusou a maior deformação permanente entre as amostras.
10.1016/j.cscm.2024.e03509,PET (Tampas e Garrafas Plásticas),Malásia,Triturado e peneirado,-,PET-Fine-10,-,-,-,-,22.37,-,-,-,-,1000 N,1000 N,5 pulsos (MR) / 3600 (Creep),-,-,-,-,3660,-,-,-,Revestimento Asfáltico,10% PET (como agregado miúdo: 4.75 a 0.075mm). OAC = 5.39%. Aumento de 22% no Módulo de Resiliência a 25°C. Melhorou a vida de fadiga e a estabilidade.
10.1016/j.cscm.2024.e03510,PET (Tampas e Garrafas Plásticas),Malásia,Triturado e peneirado,-,PET-Fine-20,-,-,-,-,22.16,-,-,-,-,1000 N,1000 N,5 pulsos (MR) / 3600 (Creep),-,-,-,-,-,-,-,0.92,Revestimento Asfáltico,"20% PET miúdo. OAC = 5.45%. Começou a decair o Módulo de Resiliência comparado aos 10%, mas reduziu bastante a deformação permanente para 0.92%."
10.1016/j.cscm.2024.e03511,PET (Tampas e Garrafas Plásticas),Malásia,Triturado e peneirado,-,PET-Fine-30,-,-,-,-,46044,-,-,-,-,1000 N,1000 N,5 pulsos (MR) / 3600 (Creep),-,-,-,-,-,-,-,1.4,Revestimento Asfáltico,30% PET miúdo. OAC = 5.59%. O excesso de plástico prejudicou o Módulo de Resiliência (queda de 15% em relação aos 10%) e aumentou a deformação para 1.40%.
10.1016/j.cscm.2024.e03512,PET (Tampas e Garrafas Plásticas),Malásia,Triturado e peneirado,-,PET-Filler-10,-,-,-,-,22.41,-,-,-,-,1000 N,1000 N,5 pulsos (MR) / 3600 (Creep),-,-,-,-,3988,-,-,-,Revestimento Asfáltico,10% PET (como fíler: <0.075mm). OAC = 5.43%. Apresentou o maior módulo de resiliência alcançado no estudo (26% acima do controle).
10.1016/j.cscm.2024.e03513,PET (Tampas e Garrafas Plásticas),Malásia,Triturado e peneirado,-,PET-Filler-20,-,-,-,-,22.29,-,-,-,-,1000 N,1000 N,5 pulsos (MR) / 3600 (Creep),-,-,-,-,-,-,-,0.81,Revestimento Asfáltico,Mistura ótima. 20% PET Fíler. OAC = 5.50%. Obteve a menor deformação permanente de todo o estudo (0.81%) e excelente vida de fadiga (suportou mais de 23.000 ciclos sob 2250 N).
10.1016/j.cscm.2024.e03514,PET (Tampas e Garrafas Plásticas),Malásia,Triturado e peneirado,-,PET-Filler-30,-,-,-,-,22.17,-,-,-,-,1000 N,1000 N,5 pulsos (MR) / 3600 (Creep),-,-,-,-,-,-,-,-,Revestimento Asfáltico,"30% PET Fíler. OAC = 5.61%. Tal como a areia miúda, o excesso reduziu o MR e a vida útil."
10.28991/CEJ-2023-09-04-012,Garrafas Plásticas (PET/PP),Iraque,"Triturado (2,36 a 4,75mm)",-,Controle (0%),-,-,-,-,23.64,46058,-,-,-,-,Tração Indireta: 138,1200,-,-,-,-,-30527,-,-,-,Revestimento Asfáltico,Mistura de controle (0% plástico). Ensaio a 25 °C. Os valores de OMC da tabela representam o Teor Ótimo de Asfalto (OAC).
10.28991/CEJ-2023-09-04-013,Garrafas Plásticas (PET/PP),Iraque,"Triturado (2,36 a 4,75mm)",-,Plástico 5%,-,-,-,-,23.45,46027,-,-,-,-,Tração Indireta: 138,1200,-,-,-,-,6788,-,-,-,Revestimento Asfáltico,"5% de substituição do agregado miúdo (via seca). Aumento de 5,3% no Módulo de Resiliência em relação ao controle."
10.28991/CEJ-2023-09-04-014,Garrafas Plásticas (PET/PP),Iraque,"Triturado (2,36 a 4,75mm)",-,Plástico 7%,-,-,-,-,23.35,46238,-,-,-,-,Tração Indireta: 138,1200,-,-,-,-,56401,-,-,-,Revestimento Asfáltico,"7% de plástico. O consumo ótimo de asfalto (OAC) cai gradativamente com a adição do resíduo, melhorando a economia."
10.28991/CEJ-2023-09-04-015,Garrafas Plásticas (PET/PP),Iraque,"Triturado (2,36 a 4,75mm)",-,Plástico 9%,-,-,-,-,23.15,46207,-,-,-,-,Tração Indireta: 138,1200,-,-,-,-,82637,-,-,-,Revestimento Asfáltico,Mistura de maior rigidez (ganho de 17% no MR). O volume de Vazios (AV) reduziu substancialmente.
10.28991/CEJ-2023-09-04-016,Garrafas Plásticas (PET/PP),Iraque,"Triturado (2,36 a 4,75mm)",-,Plástico 11%,-,-,-,-,23.15,46146,-,-,-,-,Tração Indireta: 138,1200,-,-,-,-,77646,-,-,-,Revestimento Asfáltico,"Mistura de maior economia de ligante (OAC reduziu 13,5% face ao controle). MR sofreu leve queda se comparado aos 9%, mas mantendo-se 16% acima do controle."
0.1016/j.jobe.2023.108257,CB (Tijolo Triturado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),CB1-70,-,-,-,46025,19.62,10.88,-,-,A-1-a,20.7 a 137.9,20.7 a 275.8,AASHTO T307-99,1315,629,-108,994,254.18,-,-,-,Base / Sub-base,1% de Emulsão Asfáltica (BEC). Condicionada a 70% da umidade ótima (OMC). Classificação USCS: GW.
0.1016/j.jobe.2023.108258,CB (Tijolo Triturado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),CB1-90,-,-,-,46025,19.62,10.88,-,-,A-1-a,20.7 a 137.9,20.7 a 275.8,AASHTO T307-99,872,719,-188,995,182.29,-,-,-,Base / Sub-base,1% BEC. Condicionada a 90% OMC. A elevação da umidade reduziu o MR médio.
