 ,Tipo de Resíduo,Origem / País,"Processamento (triturado, moído, fibra etc,)",Equação de Resilient Modulus,ID da Amostra,LL (%),PL (%),IP (%),Finos (%), MDD (kN/m³),OMC (%),CBR (%),Expansão (%),AASHTO,Tensão de Confinamento (mPa),Tensão Desviadora (mPa),Número de Ciclos de Carga,K1,K2,K3,R²,MR (MPa),Deformação Permanente (μℰ),Deformação Permanente Final (μℰ),DP (%),"Aplicação sugerida (subleito, sub-base, base)",Observações
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR3S2 (35 °C),,,,,,,,,,,,,,,,"0,825",778,,,,Base e Revestimento (AC-BC),"Blend: 50% Nat / 30% RAP / 20% Slag. G_graúdo: 2,768; G_miúdo: 2,657."
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR3S2 (45 °C),,,,,,,,,,,,,,,,"0,825","329,5",,,,Base e Revestimento (AC-BC),Blend: 50% Nat / 30% RAP / 20% Slag a 45°C.
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR3S3 (35 °C),,,,,,,,,,,,,,,,"0,825","857,5",,,,Base e Revestimento (AC-BC),"Blend: 40% Nat / 30% RAP / 30% Slag. G_graúdo: 2,852; G_miúdo: 2,704."
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR3S3 (45 °C),,,,,,,,,,,,,,,,"0,825","341,5",,,,Base e Revestimento (AC-BC),Blend: 40% Nat / 30% RAP / 30% Slag a 45°C.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,95S-5F-5D,,,0,,"22,5",10,,,,"0,0345","0,0931",10000,"0,913","0,123","0,557","0,992","80,5","489,3",-,-,Base de pavimentos flexíveis,Cura: 28 dias.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,95S-5F-10D,,,0,,"23,2","10,5",,,,"0,0345","0,0931",10000,"1,01","0,107","0,55","0,992","88,3","385,7",-,-,Base de pavimentos flexíveis,Cura: 28 dias.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,95S-5F-15D,,,0,,"20,8","12,2",,,,"0,0345","0,0931",10000,"1,1","0,125","0,479","0,992","95,1","299,9",-,-,Base de pavimentos flexíveis,Cura: 28 dias.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,95S-5F-20D,,,0,,"19,4","10,8",,,,"0,0345","0,0931",10000,"1,146","0,114","0,46","0,992","101,8","172,3",-,-,Base de pavimentos flexíveis,Cura: 28 dias.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,85S-15F-5D,,,0,,"19,8","11,5",,,,"0,0345","0,0931",10000,"1,036","0,15","0,539","0,992","92,4","252,4",-,-,Base de pavimentos flexíveis,Cura: 28 dias.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,85S-15F-10D,,,0,,"20,4",12,,,,"0,0345","0,0931",10000,"1,117","0,132","0,528","0,992","99,8","239,2",-,-,Base de pavimentos flexíveis,Cura: 28 dias.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,85S-15F-15D,,,0,,"21,1","12,6",,,,"0,0345","0,0931",10000,"1,206","0,134","0,495","0,992","107,5","192,6",-,-,Base de pavimentos flexíveis,Cura: 28 dias.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,85S-15F-20D,,,0,,"18,8","14,2",,,,"0,0345","0,0931",10000,"1,244","0,109","0,493","0,992","114,6","148,6",-,-,Base de pavimentos flexíveis,Cura: 28 dias.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,80S-20F-15D,,,0,,"19,9","11,9",,,,"0,0345","0,0931",10000,-,-,-,"0,992","113,2",135,-,-,Base de pavimentos flexíveis,Classificada como SW (areia bem graduada); Cura: 28 dias.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,75S-25F-0D,,,0,,"20,5","12,2",,,,"0,0345","0,0931",10000,-,-,-,-,72,910,-,-,Base de pavimentos flexíveis,Baseline (0% Dolime). Pouca formação de gel.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,75S-25F-5D,,,0,,"18,8",12,,,,"0,0345","0,0931",10000,"1,106","0,098","0,442","0,992","104,8","235,8",-,-,Base de pavimentos flexíveis,Cura: 28 dias.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,75S-25F-10D,,,0,,"24,5","11,8",,,,"0,0345","0,0931",10000,"1,211","0,113","0,454","0,992","108,2","179,2",-,-,Base de pavimentos flexíveis,Cura: 28 dias.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,75S-25F-15D,,,0,,"19,3","13,5",,"< 0,5",,"0,0345","0,0931",10000,"1,299","0,102","0,454","0,992","113,5","127,5",-,-,Base de pavimentos flexíveis,MISTURA ÓTIMA; Cura: 28 dias. Baixa expansão.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,75S-25F-20D,,,0,,19,"15,2",,,,"0,0345","0,0931",10000,"1,359","0,097","0,445","0,992","115,2","64,6",-,-,Base de pavimentos flexíveis,Cura: 28 dias.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,65S-35F-5D,,,0,,"19,2","13,5",,,,"0,0345","0,0931",10000,"0,602","0,079","0,4","0,992","54,1","804,4",-,-,Base de pavimentos flexíveis,Cura: 28 dias.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,65S-35F-10D,,,0,,"16,8","14,4",,,,"0,0345","0,0931",10000,"0,912","0,086","0,416","0,992","80,4","710,7",-,-,Base de pavimentos flexíveis,Cura: 28 dias. Excesso de finos piora o Mr.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,65S-35F-15D,,,0,,"17,4","16,2",,,,"0,0345","0,0931",10000,"1,014","0,087","0,427","0,992","90,2",528,-,-,Base de pavimentos flexíveis,Cura: 28 dias.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,65S-35F-20D,,,0,,17,16,,,,"0,0345","0,0931",10000,"1,09","0,084","0,387","0,992","98,4","480,7",-,-,Base de pavimentos flexíveis,Cura: 28 dias.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,75S-25F-15D (0d),,,0,,"19,3","13,5",,,,"0,0345","0,0931",10000,"1,048","0,11","0,507","0,992","75,2","815,1",-,-,Base de pavimentos flexíveis,Cura: 0 dias (Rigidez antes das reações pozolânicas).
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,75S-25F-15D (7d),,,0,,"19,3","13,5",,,,"0,0345","0,0931",10000,"1,166","0,111","0,479","0,992","90,1","450,3",-,-,Base de pavimentos flexíveis,Cura: 7 dias. Aumento progressivo de MR.
10.1061/(ASCE)MT.1943-5533.0001619,"SS, FA, D",Índia,Triturado e Pó,Mr/Pa = k1*(σ3/Pa)^k2*(σd/Pa)^k3,75S-25F-15D (14d),,,0,,"19,3","13,5",,,,"0,0345","0,0931",10000,"1,242","0,105","0,472","0,992","102,4","257,3",-,-,Base de pavimentos flexíveis,Cura: 14 dias.
10.1007/s40996-025-01765-x,SSA / RCA,Índia,Triturado,-,Mix-SR,,,,,"3,12","1,86",,,,,,10 Hz,,,,,3160,,,,Revestimento,"OBC: 5,78%; Estabilidade: 19,12 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,SSA,Índia,Triturado,-,Mix-SN,,,,,"3,12","1,86",,,,,,10 Hz,,,,,2984,,,,Revestimento,"OBC: 5,66%; Estabilidade: 17,37 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,SSA,Índia,Triturado,-,Mix-C,,,,,"2,87","0,54",,,,,,10 Hz,,,,,2850,,,,Revestimento,"OBC: 5,53%; Estabilidade: 15,88 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,RCA,Índia,Triturado,-,Mix-D,,,,,"2,87","0,54",,,,,,10 Hz,,,,,2710,,,,Revestimento,"OBC: 5,55%; Estabilidade: 14,27 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,RCA / SSA,Índia,Triturado,-,Mix-RS,,,,,"2,64","1,65",,,,,,10 Hz,,,,,2425,,,,Revestimento,"OBC: 5,82%; Estabilidade: 11,64 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,RCA,Índia,Triturado,-,Mix-RN,,,,,"2,64","1,65",,,,,,10 Hz,,,,,2210,,,,Revestimento,"OBC: 5,74%; Estabilidade: 10,75 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,Natural,Índia,Triturado,-,Mix-N,,,,,"2,87","0,54",,,,,,10 Hz,,,,,2615,,,,Revestimento,"OBC: 5,48%; Estabilidade: 12,26 kN; Controle (NA)"
10.3390/su162310211,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS (Baixa),"40,4",0,0,~35%,"16,61","20,5",,"6,1",A-7-6,"0,02","0,02",3300,"24,69","0,185","0,763","0,97",230,,,,Não recomendado,Expansividade crítica por anidrita e haloísita 10Å.
10.3390/su162310212,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS (Média),"40,4",0,0,~35%,"16,61","20,5",,"6,1",A-7-6,"0,07","0,14",3300,"24,69","0,185","0,763","0,97",50,,,,Não recomendado,Solo residual filítico; baixa rigidez sob tráfego.
10.3390/su162310213,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS (Alta),"40,4",0,0,~35%,"16,61","20,5",,"6,1",A-7-6,"0,105","0,275",3300,"24,69","0,185","0,763","0,97",46,,,,Não recomendado,Módulo resiliente medido a 275 kPa (tensão máxima).
10.3390/su162310214,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS80/IMW20 (Baixa),0,0,0,~32%,"17,34","19,2",,"3,9",A-4,"0,02","0,02",3300,"59,34","0,306","0,716","0,939",290,,,,Reforço de subleito,Redução de expansão inicial via adição de IMW.
10.3390/su162310215,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS80/IMW20 (Média),0,0,0,~32%,"17,34","19,2",,"3,9",A-4,"0,07","0,14",3300,"59,34","0,306","0,716","0,939",82,,,,Reforço de subleito,Sensibilidade à tensão de confinamento aumentada.
10.3390/su162310216,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS80/IMW20 (Alta),0,0,0,~32%,"17,34","19,2",,"3,9",A-4,"0,14","0,42",3300,"59,34","0,306","0,716","0,939",61,,,,Reforço de subleito,Comportamento siltoso (AASHTO A-4).
10.3390/su162310217,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS60/IMW40 (Baixa),0,0,0,~30%,"18,39","14,7",,"2,4",A-4,"0,02","0,02",3300,"63,95","0,214","0,567","0,756",250,,,,Sub-base / Reforço,Melhor densificação estrutural com 40% de IMW.
10.3390/su162310218,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS60/IMW40 (Média),0,0,0,~30%,"18,39","14,7",,"2,4",A-4,"0,07","0,14",3300,"63,95","0,214","0,567","0,756",88,,,,Sub-base / Reforço,Estabilidade granulométrica superior ao PRS puro.
10.3390/su162310219,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS60/IMW40 (Alta),0,0,0,~30%,"18,39","14,7",,"2,4",A-4,"0,14","0,42",3300,"63,95","0,214","0,567","0,756",69,,,,Sub-base / Reforço,Incremento de K1 reflete ganho de rigidez inicial.
10.3390/su162310220,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS50/IMW50 (Baixa),0,0,0,~28%,"18,93","14,2",,1,A-4,"0,02","0,02",3300,"94,36","0,259","0,557","0,734",298,,,,Reforço de subleito / Sub-base,Redução da expansão para 1% (limite normativo).
10.3390/su162310221,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS50/IMW50 (Média),0,0,0,~28%,"18,93","14,2",,1,A-4,"0,07","0,14",3300,"94,36","0,259","0,557","0,734",115,,,,Reforço de subleito / Sub-base,Ganho de 130% no RM em tensões médias vs PRS.
10.3390/su162310222,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS50/IMW50 (Alta),0,0,0,~28%,"18,93","14,2",,1,A-4,"0,14","0,42",3300,"94,36","0,259","0,557","0,734",92,,,,Reforço de subleito / Sub-base,Mistura ideal para estabilização de solos filíticos.
10.3390/su162310223,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS (Baixa),"43,2","29,2",14,~50%,"19,26","16,1",,0,A-7-6,"0,02","0,02",3300,"237,5","0,006","0,428","0,916",1270,,,,Camadas superiores,Comportamento laterítico (LA'); cimentação natural.
10.3390/su162310224,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS (Média),"43,2","29,2",14,~50%,"19,26","16,1",,0,A-7-6,"0,07","0,14",3300,"237,5","0,006","0,428","0,916",464,,,,Camadas superiores,Estabilidade via caulinita e óxidos de Fe/Al.
10.3390/su162310225,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS (Alta),"43,2","29,2",14,~50%,"19,26","16,1",,0,A-7-6,"0,14","0,42",3300,"237,5","0,006","0,428","0,916",351,,,,Camadas superiores,Solo argiloso laterítico com alta rigidez intrínseca.
10.3390/su162310226,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS80/IMW20 (Baixa),"35,3","25,8","9,5",~45%,"19,72","13,4",,0,A-4,"0,02","0,02",3300,"340,36","0,104","0,362","0,899",922,,,,Base / Sub-base,Manutenção da rigidez com ganho ambiental.
10.3390/su162310227,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS80/IMW20 (Média),"35,3","25,8","9,5",~45%,"19,72","13,4",,0,A-4,"0,07","0,14",3300,"340,36","0,104","0,362","0,899",455,,,,Base / Sub-base,K2 positivo indica maior dependência do confinamento.
10.3390/su162310228,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS80/IMW20 (Alta),"35,3","25,8","9,5",~45%,"19,72","13,4",,0,A-4,"0,14","0,42",3300,"340,36","0,104","0,362","0,899",382,,,,Base / Sub-base,Ótimo desempenho mecânico para bases granulares.
10.3390/su162310229,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS60/IMW40 (Baixa),"26,5","17,2","9,3",~42%,"20,53","11,7",,0,A-4,"0,02","0,02",3300,"330,84","0,269","0,405","0,759",561,,,,Sub-base,Queda brusca de rigidez comparada ao LCS80/IMW20.
10.3390/su162310230,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS60/IMW40 (Média),"26,5","17,2","9,3",~42%,"20,53","11,7",,0,A-4,"0,07","0,14",3300,"330,84","0,269","0,405","0,759",311,,,,Sub-base,Perda de coesão laterítica por excesso de resíduo.
10.3390/su162310231,Rejeito de Minério de Ferro (IMW),Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS60/IMW40 (Alta),"26,5","17,2","9,3",~42%,"20,53","11,7",,0,A-4,"0,14","0,42",3300,"330,84","0,269","0,405","0,759",278,,,,Sub-base,Recomendado apenas para camadas de menor esforço.
10.1016/j.clema.2025.100335,Tampas (PP),Tailândia,Triturado,-,CP,,,,,"20,18",,,,,,,,,,,,"374,8",,,,"Excluído (UCS > 8,3 MPa)","Cimento+Fly Ash (1:2); w/b=0,7"
10.1016/j.clema.2025.100336,Tampas (PP),Tailândia,Triturado,-,CP10,,,,,"19,02",,,,,,,,,,,,303,,,,Base e Sub-base,"Cimento+Fly Ash (1:2); 10% PA; w/b=0,7"
10.1016/j.clema.2025.100337,Tampas (PP),Tailândia,Triturado,-,CP20,,,,,"18,34",,,,,,,,,,,,"223,5",,,,"Não atende critérios de rigidez (Austroads, 2017)","Cimento+Fly Ash (1:2); 20% PA; w/b=0,7"
10.1016/j.clema.2025.100338,Tampas (PP),Tailândia,Triturado,-,CP30,,,,,"17,1",,,,,,,,,,,,"127,4",,,,"Não atende critérios de rigidez (Austroads, 2017)","Cimento+Fly Ash (1:2); 30% PA; w/b=0,7"
10.1016/j.clema.2025.100339,Tampas (PP),Tailândia,Triturado,-,AP,,,,,"19,87",,,,,,,,,,,,"289,6",,,,Sub-base,"High-Ca Fly Ash+10M NaOH; Ativador/FA=0,4"
10.1016/j.clema.2025.100340,Tampas (PP),Tailândia,Triturado,-,AP10,,,,,"18,56",,,,,,,,,,,,"276,1",,,,Sub-base,"High-Ca Fly Ash+10M NaOH; 10% PA; Ativador/FA=0,4"
10.1016/j.clema.2025.100341,Tampas (PP),Tailândia,Triturado,-,AP20,,,,,"17,78",,,,,,,,,,,,"192,5",,,,"Não atende critérios de rigidez (Austroads, 2017)","High-Ca Fly Ash+10M NaOH; 20% PA; Ativador/FA=0,4"
10.1016/j.cscm.2024.e03508,PET (Tampas e Garrafas Plásticas),Malásia,Triturado e peneirado,-,Control,,,,,"22,49",,,,,0,"0,1",,,,,,3155,,,"1,72",Revestimento Asfáltico,Mistura asfáltica SMA (0% PET). Teor Ótimo de Betume (OAC) = 5.30%. O teste de deformação (creep) acusou a maior deformação permanente entre as amostras.
10.1016/j.cscm.2024.e03509,PET (Tampas e Garrafas Plásticas),Malásia,Triturado e peneirado,-,PET-Fine-10,,,,,"22,37",,,,,0,"0,1",5 pulsos (MR) / 3600 (Creep),,,,,3660,,,,Revestimento Asfáltico,10% PET (como agregado miúdo: 4.75 a 0.075mm). OAC = 5.39%. Aumento de 22% no Módulo de Resiliência a 25°C. Melhorou a vida de fadiga e a estabilidade.
10.1016/j.cscm.2024.e03510,PET (Tampas e Garrafas Plásticas),Malásia,Triturado e peneirado,-,PET-Fine-20,,,,,"22,16",,,,,0,"0,1",5 pulsos (MR) / 3600 (Creep),,,,,,,,"0,92",Revestimento Asfáltico,"20% PET miúdo. OAC = 5.45%. Começou a decair o Módulo de Resiliência comparado aos 10%, mas reduziu bastante a deformação permanente para 0.92%."
10.1016/j.cscm.2024.e03511,PET (Tampas e Garrafas Plásticas),Malásia,Triturado e peneirado,-,PET-Fine-30,,,,,46044,,,,,0,"0,1",5 pulsos (MR) / 3600 (Creep),,,,,,,,"1,4",Revestimento Asfáltico,30% PET miúdo. OAC = 5.59%. O excesso de plástico prejudicou o Módulo de Resiliência (queda de 15% em relação aos 10%) e aumentou a deformação para 1.40%.
10.1016/j.cscm.2024.e03512,PET (Tampas e Garrafas Plásticas),Malásia,Triturado e peneirado,-,PET-Filler-10,,,,,"22,41",,,,,0,"0,1",5 pulsos (MR) / 3600 (Creep),,,,,3988,,,,Revestimento Asfáltico,10% PET (como fíler: <0.075mm). OAC = 5.43%. Apresentou o maior módulo de resiliência alcançado no estudo (26% acima do controle).
10.1016/j.cscm.2024.e03513,PET (Tampas e Garrafas Plásticas),Malásia,Triturado e peneirado,-,PET-Filler-20,,,,,"22,29",,,,,0,"0,1",5 pulsos (MR) / 3600 (Creep),,,,,,,,"0,81",Revestimento Asfáltico,Mistura ótima. 20% PET Fíler. OAC = 5.50%. Obteve a menor deformação permanente de todo o estudo (0.81%) e excelente vida de fadiga (suportou mais de 23.000 ciclos sob 2250 N).
10.1016/j.cscm.2024.e03514,PET (Tampas e Garrafas Plásticas),Malásia,Triturado e peneirado,-,PET-Filler-30,,,,,"22,17",,,,,0,"0,1",5 pulsos (MR) / 3600 (Creep),,,,,,,,,Revestimento Asfáltico,"30% PET Fíler. OAC = 5.61%. Tal como a areia miúda, o excesso reduziu o MR e a vida útil."
10.28991/CEJ-2023-09-04-012,Garrafas Plásticas (PET/PP),Iraque,"Triturado (2,36 a 4,75mm)",-,Controle (0%),,,,,"23,64","5,2",,,,0,"0,138",1200,,,,,30527,,,,Revestimento Asfáltico,Mistura de controle (0% plástico). Ensaio a 25 °C. Os valores de OMC da tabela representam o Teor Ótimo de Asfalto (OAC).
10.28991/CEJ-2023-09-04-013,Garrafas Plásticas (PET/PP),Iraque,"Triturado (2,36 a 4,75mm)",-,Plástico 5%,,,,,"23,45","5,1",,,,0,"0,138",1200,,,,,6788,,,,Revestimento Asfáltico,"5% de substituição do agregado miúdo (via seca). Aumento de 5,3% no Módulo de Resiliência em relação ao controle."
10.28991/CEJ-2023-09-04-014,Garrafas Plásticas (PET/PP),Iraque,"Triturado (2,36 a 4,75mm)",-,Plástico 7%,,,,,"23,35","4,8",,,,0,"0,138",1200,,,,,56401,,,,Revestimento Asfáltico,"7% de plástico. O consumo ótimo de asfalto (OAC) cai gradativamente com a adição do resíduo, melhorando a economia."
10.28991/CEJ-2023-09-04-015,Garrafas Plásticas (PET/PP),Iraque,"Triturado (2,36 a 4,75mm)",-,Plástico 9%,,,,,"23,15","4,7",,,,0,"0,138",1200,,,,,82637,,,,Revestimento Asfáltico,Mistura de maior rigidez (ganho de 17% no MR). O volume de Vazios (AV) reduziu substancialmente.
10.28991/CEJ-2023-09-04-016,Garrafas Plásticas (PET/PP),Iraque,"Triturado (2,36 a 4,75mm)",-,Plástico 11%,,,,,"23,15","4,5",,,,0,"0,138",1200,,,,,77646,,,,Revestimento Asfáltico,"Mistura de maior economia de ligante (OAC reduziu 13,5% face ao controle). MR sofreu leve queda se comparado aos 9%, mas mantendo-se 16% acima do controle."
https://doi.org/10.1016/j.jobe.2023.108257,CB (Tijolo Triturado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),CB1-70,,,,46025,"19,62","10,88",,,A-1-a,,,AASHTO T30799,1315,629,108,994,"254,18",,,,Base / Sub-base,1% de Emulsão Asfáltica (BEC). Condicionada a 70% da umidade ótima (OMC). Classificação USCS: GW.
https://doi.org/10.1016/j.jobe.2023.108258,CB (Tijolo Triturado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),CB1-90,,,,46025,"19,62","10,88",,,A-1-a,,,AASHTO T30799,872,719,188,995,"182,29",,,,Base / Sub-base,1% BEC. Condicionada a 90% OMC. A elevação da umidade reduziu o MR médio.
https://doi.org/10.1016/j.jobe.2023.108259,CB (Tijolo Triturado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),CB2-70,,,,46025,"19,62","10,88",,,A-1-a,,,AASHTO T30799,1389,599,112,995,"258,61",,,,Base / Sub-base,2% BEC. Aos 70% de OMC. Teor de emulsão recomendado pelos autores para climas úmidos.
https://doi.org/10.1016/j.jobe.2023.108260,CB (Tijolo Triturado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),CB2-90,,,,46025,"19,62","10,88",,,A-1-a,,,AASHTO T30799,1298,603,173,998,"236,26",,,,Base / Sub-base,2% BEC. O teor ótimo minimizou a perda do MR quando a umidade subiu para 90% OMC.
https://doi.org/10.1016/j.jobe.2023.108261,CB (Tijolo Triturado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),CB3-70,,,,46025,"19,62","10,88",,,A-1-a,,,AASHTO T30799,1589,485,57,982,"277,96",,,,Base / Sub-base,"3% BEC. Teor recomendado para climas secos. Apresentou o MR mais alto (277,96 MPa) entre as amostras de CB secas."
https://doi.org/10.1016/j.jobe.2023.108262,CB (Tijolo Triturado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),CB3-90,,,,46025,"19,62","10,88",,,A-1-a,,,AASHTO T30799,1037,669,84,994,"212,93",,,,Base / Sub-base,3% BEC. Aos 90% de OMC o excesso de emulsão e água prejudicou ligeiramente a rigidez do CB.
https://doi.org/10.1016/j.jobe.2023.108263,RCC (Concreto Reciclado) + Emulsão Asfáltica,Austrália,Triturado / Estabilizado,NCHRP (3 Parâmetros),RCC1-70,,,,46025,"19,52",11,,,A-1-a,,,AASHTO T30799,1456,643,124,925,"318,15",,,,Base / Sub-base,1% BEC. Condicionada a 70% OMC. Classificação USCS: GW. MR consideravelmente maior que o CB nas mesmas condições.
